show_version	打印服务器编译版本号
ban_login	封号，参数: 角色UID 封停时长(单位:秒, 0表示解封) 类型(1外挂 2退款 3其他 4语言 5头像 6签名 7直播 8昵称 9恶意掉分 10卡排位 11代打/代练 12字节bgip平台封禁(非法获利) 13与外挂使用者组队获利 14恶意掉分 15恶意刷分 16代充 17涉嫌诈骗) 描述(5字符内)
sub_ban_login	减少封号时间，参数: 角色UID 减少时长(单位:秒, 0表示解封) 类型(1外挂 2退款 3其他 4语言 5头像 6签名 7直播 8昵称 9恶意掉分 10卡排位 11代打/代练 12字节bgip平台封禁(非法获利) 13与外挂使用者组队获利 14恶意掉分 15恶意刷分 16代充 17涉嫌诈骗) 描述(5字符内)
ban_login_check_condition	封号，参数: 角色UID 封停时长(单位:秒, 0表示解封) 检查条件 类型(1外挂 2退款 3其他) 描述(5字符内)
freeze_role	冻结，参数: 角色UID 冻结时长(单位:秒, 0表示解冻) 类型(1自助 2GM) 描述(5字符内)
unfreeze_role	解冻，参数: 角色UID 类型(1自助 2GM) 描述(5字符内)
ban_speak	禁言，参数: 角色UID 封停时长(单位:秒, 0表示解封)
ban_all_speak	全局禁言，参数: 角色UID 封停时长(单位:秒, 0表示解封)
cancel_ban_speak	解除禁言，参数: 角色UID
cancel_ban_all_speak	解除全局禁言，参数: 角色UID
cancel_ban_sign	解封签名，参数: 角色UID
ban_sign	禁止签名，参数: 角色UID 被封时间秒
cancel_ban_chatonbattle	解除战斗内禁言，参数: 角色UID
ban_chatonbattle	增加战斗内禁言，参数: 角色UID 被封时间秒
set_force_start	设置玩家是否能强拉，参数: 角色UID 是否(0/1)
cancel_ban_login	解除禁止登陆，参数: 角色UID 子类型subType
ban_live	封音视频直播，参数: 角色UID 被封时间秒
cancel_ban_live	解除已封视频直播，参数: 角色UID
see_ban	查看封停列表
ban_whitelist	封禁白名单， 参数: 角色UID 时间秒
see_ban_whitelist	查看封禁白名单
ban_head	禁用头像，参数：角色UID 被封时间秒
cancle_ban_head	解除禁用头像，参数：角色UID
unban_head	解除禁用头像 并且清除上传头像倒计时，参数：角色UID
add_hero	增加英雄，参数：角色UID 英雄ItemID
set_red_count	设置保底搜索次数和出红次数，参数：角色UID 搜索次数 出红次数
see_ban_info	查看禁用信息，参数：角色UID
change_zone	强制切换分区（需玩家下线操作），参数：角色UID 分区ID
change_advanceserver	切换分区到测服，参数：角色UID 分区ID
set_clientVer	设置客户端版本号，参数：角色UID 版本信息
set_InviteRole	设置玩家邀请者，参数：角色UID 邀请者UID 邀请者ZoneId 是否强制
get_country_by_ip	根据ip获得国家，参数： IP
set_ip	设置IP，参数：角色UID IP
get_ip	获取IP，参数：角色UID
get_country	获取国家代码，参数：角色UID
set_country	设置国家代码，参数：角色UID 国家代码
set_isp	设置运营商，参数：角色UID 运营商全称
set_create_role_country	设置创角国家代码，参数：角色UID 国家代码
set_login_country	设置登录国家代码，参数：角色UID 国家代码
get_totalcharge	获取玩家的累计充值记录,参数：角色UID
set_totalcharge	设置玩家的累计充值记录,参数：角色UID 总充值数
report_ping	上报Ping值，参数： 角色UID MatchGroupID Ping值 [lost client_ip] [pingtype 1老的 2udpping 3新icmp]
battle_ping	根据Ping计算Battle
getping_ipcity	根据ip获得所属city,state,country及其到servergroup的ping值 参数：类型（city-1,state-2,country-3 ip-4 isp-5）[ip]
set_room_battle_group_ping	设置房间Battle组Ping值，重启失效，ping从小到大 参数：角色ID 组,ping;组,ping
see_room_battle_group_ping	查看房间Battle组Ping值 参数：角色ID
buy_iap_item	购买商城道具 参数: 角色UID 订单类型 物品标识(1:ios 2:google 3:amazon                                    5:onestore 10:bluepay 11:w00t 12:huawei 13:codashop 14:codapay                                     15:molstore 16:paymentwall)
set_gm_login_channel	设置登录渠道, 参数:角色UID 渠道
set_gm_login_unity_version	设置登录的unityversion, 参数:角色UID unity2017/unity2019
iap_amazon_testproduct	修改亚马逊沙盒账号 参数: 角色UID 参数(1是0否)
clear_iap_store_recent_order	删除玩家身上保存的最近充值订单 参数: 角色UID 订单类型 订单ID
set_first_charge_status	设置首充状态, 参数:角色UID 状态（0:未激活；1：可领取奖励；2：奖励领取完成）
set_last_iap_request_flowid	设置上次请求flowid: 角色UID flowid
get_iap_recent_orderid	获取IAP最近订单号: 角色UID
check_role_is_online	玩家是否在线状态: 角色UID
iap_set_mon_dev_id_times	设置设备ID月总充值次数: 角色UID 次数 是否更新mis(0否1是)
iap_add_mon_dev_id_times	增加设备ID月总充值次数: 角色UID 次数
iap_get_mon_dev_id_times	获取本地设备ID月总充值次数: 角色UID
iap_sync_mon_dev_id_times	同步MiscServer到本地设备ID月总充值次数: 角色UID
turn_on_role_log	开启详细日志，参数: 角色UID
turn_off_role_log	关闭详细日志，参数: 角色UID
show_role_log	查看开启详细日志的玩家
turn_on_module_log	开启详细日志，参数: 模块ID
turn_off_module_log	关闭详细日志，参数: 模块ID
show_module_log	查看开启详细日志的模块
set_face_path	直接设置玩家头像：角色UID 图片路径（52/56/15652_1.jpg）
clear_custom_face	重设头像上传的状态：角色UID
reset_forbid_pvp_time	重置pvp禁止时间:角色ID
system_change_name	系统强制改名:角色ID 角色名字
cs_change_name	客服强制改名:角色ID 角色名字
change_name_without_check	角色改名，不做任何检查: 角色ID 角色名字
ban_account_login	禁止某个设备登录游戏，参数：设备id 时间
unban_account_login	解除禁止某个设备登录游戏，参数: 设备id
see_ban_account	查看禁止设备的列表
punish_face_upload	处罚玩家上传黄色头像 ：角色ID 来源(0客服1GM2鉴黄平台)
clean_battlerecord	清除玩家身上的battlerecord ：角色ID,battleid(0表示清除所有)
set_ping	设置ping值 ，参数：角色UID group1 ping1  group2 ping2
set_netlimit_proxy	设置连接差网模拟服务，参数： IP Port udpIP, udpPort
see_set_ping	查看set_ping值 ，参数：角色UID
clear_set_ping	清空set_ping值 ，参数：角色UID
add_item	添加道具，参数：角色UID 道具ID 道具数量 是否绑定(0否1是)
add_item_unbind	添加未绑定道具，参数：角色UID 道具ID 道具数量
del_item	删除道具，参数：角色UID 道具ID
sub_item	减少道具，参数：角色UID 道具ID 道具数量
clear_all_item	删除所有道具，参数：角色UID
trans_all_item	转移身上物品，参数：角色UID
supplies_value	资产价值，参数：角色UID
item_swap	物品位置交换（仓库到仓库），参数：角色UID 起始位置X,起始位置Y 目标位置X,目标位置Y
item_swap2	物品位置交换（仓库到背包），参数：角色UID 起始位置X,起始位置Y 目标位置X,目标位置Y
item_swap3	物品位置交换（装备到仓库），参数：角色UID 装备位 目标位置X,目标位置Y
unlock_storage	仓库解锁，参数：角色UID 仓库类型
expand_storage	扩充通用仓库，参数：角色UID 扩充行数(上限999)
add_itemwithdur	添加指定耐久道具，参数：角色UID 道具ID 当前耐久 当前最大耐久（0表示默认） 数量
add_bulletproofvest	添加指定耐久防弹衣，参数：角色UID 防弹衣ID 当前耐久 当前最大耐久（0表示默认） 数量
add_accessory	添加指定耐久配件，参数：角色UID 配件ID 当前耐久 当前最大耐久（0表示默认） 数量
listing_test	测试物品上架卖出概率，参数：角色UID 道具ID 上架价格 指定当前市场均价 上架时间(秒)
change_safebox	更换安全箱，参数：角色UID 安全箱ID 过期时间(秒) 是否强设过期(0否1是)
reset_safebox	重置安全箱，参数：角色UID 安全箱ID 过期时间(秒) 是否强设过期(0否1是)
clear_all_unlock_item	清空所有解锁的道具，参数：角色UID
add_unlock_shop_item	添加指定解锁的商店道具，参数：角色UID 道具ID（0表示所有）
add_unlock_recipe_item	添加指定解锁的配方道具，参数：角色UID 道具ID（0表示所有）
takeof_weapon	卸载武器（装备到仓库），参数：角色UID 武器位(0-主武器，1-副武器)
test_pack	背包测试，参数：角色UID 测试类型
clear_pack	背包测试，参数：角色UID 背包类型
set_match_packvalue	匹配背包价值，参数：角色UID 背包价值
set_match_bucket	匹配桶，参数: 角色UID 分桶id1 分桶id2 分桶id3
storage_clean_all	清空仓库（全部道具），参数：角色UID
storage_clean	清空仓库（指定类型），参数：角色UID 仓库类型 (1-通用，2-武器，3-装备，4-杂物，5-弹药，6-金币，7-手雷，8-药品)
unlock_pocket_grid	解锁口袋格子，参数：角色UID 解锁数量
see_custom_drop	查看自定义掉落，参数：角色UID
clear_custom_drop	清空自定义掉落，参数：角色UID
clear_first_item	清空物品首次获得时间，参数：角色UID
set_shop_purchase_count	设置商店商品购买数量(只支持动态价格物品)，参数：角色UID ShopId 购买数量
get_shop_price_rate	获取商店商品购买价格比例，参数：角色UID ShopId(为0表示获取全部)
get_task_reward	领取任务奖励，参数：角色UID，任务ID，任务所属活动ID
set_match_param	设置匹配参数(标准1000)，参数：普通匹配参数 排位匹配参数
get_match_param	获取匹配参数
set_match_switch	设置匹配开关(标准1000)，参数：match id 参数
get_match_switch	获取匹配开关
set_match_cmd_timeout	启用/禁用模式超时, 参数: matchId 模式ID 1(启用)/0(禁用)
get_match_cmd_timeout	获取模式超时设置, 参数: matchId
test_match_fun	测试match功能
set_match_testmode	设置匹配服务器为测试模式，参数：match id, 测试人数
close_battle_reconnect	关闭战斗重连，参数：角色UID
add_rankscore	增加段位分，参数：角色UID 数值
sub_rankscore	减少段位分，参数：角色UID 数值
set_rankscore	设置段位分，参数：角色UID 数值
test_set_season_id	设置赛季id，参数：角色UID 赛季id
set_homelandcenter_level	家园中心升级，参数：角色UID 中心枚举 中心等级
remove_ugc_home	清空家园摆设，参数：角色UID
ban_ugc_home	禁止家园摆设，参数：角色UID 时间（秒）
reset_LimitCraft	重置限时制造，参数：角色UID
reset_historyrednum	重置历史大红数量，参数：角色UID
set_newbie_jumpout	设置是否跳出新手关，参数：角色UID 0或1
set_newbie_process_score	设置新手进度分，参数：角色UID 分数
set_newbie_warm_score	设置新手温暖分，参数：角色UID 分数
set_battle_report	设置战报数据，参数：角色UID 本局收益 撤离情况 击杀AI数量 击杀真人数量 击杀怪物数量
revert_battle_report	还原战报数据，参数：角色UID
set_glicko	设置Glicko分，参数：角色UID glicko分数 RD分数
get_glicko	查看Glicko分，参数：角色UID
set_hero_show_score	设置英雄展示分 (0为清空)，参数：角色UID 英雄ID 分数
set_weapon_show_score	设置武器展示分 (0为清空)，参数：角色UID 武器ID 武器配件ID 分数
set_key_glicko	设置对应key的Glicko分，参数：角色UID key glicko分数 RD分数
set_warm_score	设置温暖分，参数：角色UID 分数
set_high_play_with	设置特殊场景温暖分（在线期间一直有效， 0表示无效），参数：角色UID 分数 新地图切换分
set_daily_warm_count	设置每日温暖关场次，参数：角色UID 场次
set_continue_warm_count	设置连续温暖关场次，参数：角色UID 场次
see_score_condition_history	查看历史对局数据，参数：角色UID
set_score_condition_history	设置历史对局数据，参数：角色UID,条件类型,数据(例：1;2;3) 不填则清空
set_economic_protection_score	设置经济体验分，参数：角色UID 分数
set_ab_test	设置abtest参数，参数：角色UID 参数（例：1;2;3）
clear_ab_test	清空abtest参数，参数：角色UID
get_ab_test	获取abtest参数，参数：角色UID
send_mail_content	发邮件_邮件内容替换参数，参数：角色UID 邮件模板ID 邮件替换参数(0:参数1;1:参数2;2:参数3)
send_mail	发邮件，参数：角色UID 邮件模板ID 道具ID 道具数量
send_custom_mail	发邮件，参数：角色UID 标题 内容 [可选道具]item=itemid,num; [可选内容参数]0=1 cdkey=AAABBC
del_mail	删除玩家指定ID的邮件，参数：角色UID 邮件ID
del_item_mail	删除玩家指定模板和附件的邮件，参数：角色UID 邮件模板ID 道具ID
revoke_mail	邮件撤回，参数：uid ts itemid1,num1;itemid2,num2...
debug_activity	调试活动：角色UID 活动ID 语言
clear_all_activity	清除所有活动记录：角色UID
get_activity_json	获取活动配置：活动ID
list_activity_json	获取所有活动配置
list_intime_activity_json	获取所有活动配置 忽略过期的
list_activity_json_withparam	获取Zone活动配置带参数
complete_task	完成任务:角色UID,活动ID,任务ID (废弃)
clear_extra_drop	清空额外掉落：角色UID 活动ID
clear_exchange	清空收集兑换：角色UID 活动ID
clear_charge_check	清空支付检测活动保存的数据：角色UID 活动ID
add_charge_check_ip_device_record	增加充值检测ip或者设备id记录：角色UID 活动ID 增加类型(0:设备id,1:ip) ip或deviceid 次数(不填+1)
set_charge_check_total_battle_num	设置支付检测活动总记录战斗场次：角色UID 活动ID 次数
clear_pre_update	清空预更新活动：角色UID 活动ID
force_update_set_take_version	强更奖励--设置领取的奖励版本：角色UID 强更版本(1.3.44)
hot_update_set_take_time_version	热更奖励--设置领取的奖励时间版本：角色UID 时间(unix时间戳) 版本(1.3.44.0.1)
lock_rank	锁定排行榜: 无需参数
unlock_rank	解锁排行榜: 无需参数
clear_rank	清空指定排行榜: 参数1-排行类型 参数2-分榜key[用于后续伙伴榜,其它榜默认填none]
clear_all_rank	清空所有排行榜: 无需参数
clear_history_rank	清空指定期的历史排行榜: 参数1-具体期的编号
clear_all_history_rank	清空所有期的历史排行榜: 无需参数
backup_rank	备份排行榜: 参数1-排行类型 参数2-分榜key[用于后续伙伴榜,其它榜默认填none]
backup_all_rank	备份所有排行榜: 无需参数
kickout_role_from_rank	将玩家踢出指定榜: 参数1-排行类型(RankConfig表RankType) 参数2-分榜key[默认填none] 参数3-玩家id
kickout_role_from_all_rank	将玩家踢出所有榜榜: 参数1-玩家id
close_enter_rank_cond_check	关闭上榜条件检查,即任意值都能触发上榜检测: 无需参数
open_enter_rank_cond_check	打开上榜条件检查即: 无需参数
set_all_rank_refresh_cache_cd	设置所有排行榜刷新缓存CD: 参数1-CD秒数[填0表示取消设置]
add_rank_battle_record	添加指定排行榜的战斗记录: 参数1-排行类型 参数2-分榜key[默认填none] 参数3-玩家id 参数4-记录积分值 参数5-地图ID
set_rank_value	设置排行榜积分,注:该操作是临时的,可能随时被最新数据覆盖还原: 参数1-排行类型 参数2-分榜key[默认填none] 参数3-玩家id 参数4-排行值
set_rankreward_time	手动设置排行榜发奖时间: 参数1-排行类型 参数2-分榜key[默认填none] 参数3-发奖日期,格式:'2026-01-01' 参数4-发奖时间,格式'01:01:01' 参数5: noforce|force[选填,force表示如果已结算,强制再结算一次]
see_rankreward_time	查看手动设置的排行榜发奖时间: 参数1-排行类型 参数2-分榜key[默认填none]
reset_rankreward_time	清除手动设置的排行榜发奖时间, 走配置时间: 参数1-排行类型 参数2-分榜key[默认填none]
see_global_rank	[暂废弃] 查看全球排行：排行类型
clear_global_rank	[暂废弃] 清空全球排行：排行类型
download_global_rank	[暂废弃] 下载全球排行：排行类型
del_rank_gm	[暂废弃] 客服指定玩家下榜(全球榜隔天生效)，支持部分榜：排行类型 玩家id
del_rank_batch_gm	[暂废弃] 客服指定玩家批量下榜(全球榜隔天生效)，支持部分榜：玩家id
report_global_rank	上报排行,只用于添加测试数据：排行类型 分榜key[默认填none] 角色UID 参数1 参数2 参数3 参数4
report_role_rank	[暂废弃] 立即上报排行：角色UID
see_realtime_rank	[暂废弃] 查看实时排行：排行类型 玩家Id 玩家分区
see_lbs_rank	[暂废弃] 查看lbs排行榜：榜单类型 sGID 后缀1 后缀2
del_lbs_rank	[暂废弃] lbs榜下榜：角色id zoneid 榜单类型 sGID 额外参数
clear_rank_server_rank	[暂废弃] 删除rankserver的排行榜信息: iRankType
set_pvp_battle_num	设置战斗场次：角色UID pvp类型 场次
set_battle_num	设置总战斗场次：角色UID 场次
clear_nationcd	重置国籍cd：角色UID
clear_gendercd	重置性别cd：角色UID
set_rejectstrangermsg	设置-拒收陌生人私信：角色UID 是否拒收
clear_lbscd	重置lbs定位cd：角色UID
lbs_set_xy	设置LBS位置: 角色ID 经度X 维度Y
see_lbs_info	查看角色LBS信息: 角色ID
query_lbs_info	根据经纬度查询lbs信息: 经度X 维度Y
lbs_allonline_set_xy	在线玩家没有开启定位，统一设置LBS位置: 经度X 维度Y
save_all	保存所有玩家数据
add_report_record	增加举报记录，参数: 角色UID 类型(1:聊天, 2:邮件, 3:头像)
clear_limit	清除指定类型次数限制，参数：角色UID 限制类型
clear_limit_param	清除指定类型次数限制，参数：角色UID 限制类型   参数1  参数2
clear_all_limit	清除所有次数限制，参数：角色UID
add_limit_num	增加指定类型次数，参数：角色UID 限制类型  刷新类型 参数1 限制次数
set_super	设置超级账号，参数：角色UID
clean_room	清除玩家身上的房间，参数：角色uid
see_room	查看玩家的房间数据，参数：角色uid
set_cancel_teammate	取消优先补齐队友，参数：角色uid 是否取消
set_sharedrop	设置是否分享掉落，参数：角色uid 是否分享
force_quit_match	强行退出匹配，参数：角色id matchid 匹配类型(不填写
set_matchlv	设置匹配等级，参数：角色uid 模式 等级
get_matchlv	取得匹配等级，参数：角色uid 模式
clear_daily_charge_limit	清除每日ios充值限制，参数：角色UID
smallcharge_buy	小额充值尝试购买 参数:角色uid 商品ID
smallcharge_draw	小额充值发货 参数:角色uid 商品ID
smallcharge_clear	小额充值清空 参数:角色uid 活动ID 商品ID
see_mail	查看邮件 参数:角色uid
see_offline	查看离线数据 参数:角色uid
see_simple	查看简要数据 参数:角色uid
get_multi_lang_str	获取多语言文本内容：多语言LANG_STRID_ 语言Id
can_operate	是否可以操作，参数：角色ID  操作选项限制
test_push	测试发送离线Push: 角色UId 推送标题 推送内容
set_reg_time	设置创角时间: 角色UId %Y-%m-%d %H:%M:%S
set_login_time	设置本次登录时间: 角色UId %Y-%m-%d %H:%M:%S
clear_client_info	清除客户端数据: 角色Uid 数据id
build_rtc_token	生成rtc token: channel_name uid
reset_misc_role	重置MiscRole
see_misc_role	查看MiscRole数据
see_misc_role_by_uid	查看玩家MiscRole数据:角色id
clear_sign	清除签名，参数： 角色uid 
see_misc_queuelimit	查看QueueLimit
set_misc_queuelimit	修改QueueLimit 参数: type 值
subscription_change_bind_user	订阅更改数据库中订阅绑定的玩家: 原始玩家uid 原始玩家zoneId 订阅商品ID 订阅的oriTransactionId 购买时订单类型 目标玩家uid 目标玩家zoneid
subscription_cancel_sub	订阅-取消续订: 玩家uid 玩家zoneId 订阅商品ID 订阅的oriTransactionId 购买时订单类型
iap_ios_lookup_client_orderid	IAP查找IOS客户端订单信息: 客户端订单号 ios订单类型(当前仅支持1:ReceiptType_Apple,26:ReceiptType_Apple_VNG)
print_all_module_control	打印所有模块控制活动: 
see_module_control_switch	打印模块控制开关: 模块Id
see_module_control_uint	打印模块控制整数: 模块Id
see_module_control_str	打印模块控制字符串: 模块Id
see_module_control_contain	打印模块控制集合是否包含: 模块Id 值
see_module_control_set	打印模块控制集合: 模块Id
set_task_complete	完成任务 角色ID taskid 活动id
set_maintask_allcomplete	完成所有主线任务 角色ID
reset_task_info	重置任务 角色ID taskid 活动id
accept_task	接取指定任务 角色ID taskid 活动id(填0即可)
add_activity_progress	增加活动进度 角色ID activity_id value
see_task_cfg	查看当前任务配置: 任务Id
load_role_num	从共享内存加载指定数量的Role: 角色数
load_simple_role_num	从共享内存加载指定数量的SimpleRole: 角色数
check_cache_role_clear	检查cacheRole清理(最短1个月) time(%Y-%m-%d %H:%M:%S) 执行间隔秒
create_cache_role_clear	创建cacheRole清理(最短1个月) time(%Y-%m-%d %H:%M:%S) 执行间隔秒
start_cache_clear	cache清理-开始或恢复执行
pause_cache_clear	cache清理-暂停执行
stop_cache_clear	cache清理-停止执行
reset_cache_clear	cache清理-重置所有数据
get_cache_role_clear_info	cache清理-查询玩家是否被清理，参数: uid
see_cache_clear	查看当前cache清理数据
see_cache_clear_data	查看全量cache清理数据
pvp_never_punish	匹配永久不受惩罚限制 参数 uid open(1开 0关)
clear_battle_record	清空战斗记录数据mapRecords 参数: uid
reset_rank_season	触发排位赛季结算  参数: 赛季ID
role_compress	测试角色数据压缩类型：角色UID 压缩类型(lz4|zlib|zstd)
delete_activity_record	删除指定活动Id的数据，需要支持通用删除：角色UID 活动Id
string_encrypt	string加解密测试 参数:被加解密串 0 xxtea key
test_inner_conf	通用配置测试，参数: key
see_sys_param	查看系统参数，参数: key
set_client_act_version	设置用户当前活动版本号：角色UID 版本号
set_status	设置当前状态，参数：角色UID 状态
print_all_iap_table_data	打印全部TableIAP数据
iap_deliver_contrl_clear_record	清空IAP发货控制活动活动：角色UID 活动ID
del_client_repair_lua_code	根据版本号删除客户端lua热修（仅阿里云有效）参数:版本号
del_client_repair_fasttast_code	根据版本号删除快速文本热修（仅阿里云有效）参数:版本号 0-此版本/1-此版本及之前版本
add_focus	测试加关注：角色UID 目标id 目标区服id
del_focus	测试删除关注：角色UID 目标id 目标区服id
add_request	测试加好友申请：角色UID 目标id 目标区服id
reject_request	测试拒绝好友申请：角色UID 目标id 目标区服id
accept_request	测试通过好友申请：角色UID 目标id 目标区服id
del_friend	测试删除好友：角色UID 目标id 目标区服id
test_fresh_role	测试刷新：角色UID
test_fresh_all_role	刷新本服所有玩家数据到BriefSvr，仅限内网使用
test_fresh_role_login	登录测试刷新：角色UID
see_friend	测试查看好友数据：角色UID
test_dirty	测试查看好友数据：角色UID
see_friend_chat	查看好友聊天记录：角色UID 好友uid 好友svrid
clear_friend_chat	清除好友聊天记录：角色UID 好友uid 好友svrid
clear_scene_chat	清除主城聊天记录：角色UID
see_brief	从BriefSvr查看Brief：角色UID 角色svrid
see_brief_from_fbid	根据fb查找角色数据：fbid
test_add_friend	本服随机添加好友：角色UID 好友数量 id下限，默认为0
test_clear_friend	删除gm命令添加的好友：角色UID
clear_friend_map_refresh_time	清除好友地图缓存刷新时间：角色UID
test_add_battle_map_time	测试添加地图过关时间：角色UID
del_battle_map_time	删除角色地图通关时长：角色UID 地图ID 白天/黑夜(0：白天，1：黑夜)
add_battle_map_time	增加角色地图通关时长：角色UID 地图ID 白天/黑夜(0：白天，1：黑夜) 通过时长(单位ms) 关卡人数 关卡排名
fix_map_time	修复角色地图通关时长错误数据：角色UID
add_random_server_friend	随机添加全服好友 参数:角色UID 数量
iap_set_pagwallet_bind_uuid	设置pagwallet钱包uuid：角色UID uuid
set_iap_last_requestbuy_time	设置iap上次购买时间:角色UID unix时间戳
log_activity_error	活动错误打点
